Base_ID	Panel	PH	EH
Ames27096	NCRIPS	-23.86019655	-14.05752536
Ames27097	NCRIPS	-27.93588855	-15.04304636
Ames27099	NCRIPS	19.09064745	13.97555764
Ames27101	NCRIPS	6.642587452	14.90053564
Ames27102	NCRIPS	7.268463452	9.768516635
Ames27106	NCRIPS	-28.09661255	-33.68219936
Ames27108	NCRIPS	-1.489660548	2.504844635
Ames27110	NCRIPS	1.663087452	-7.499630365
Ames27111	NCRIPS	-37.12319255	-28.93045736
Ames27112	NCRIPS	-24.04226455	-21.79410236
Ames27113	NCRIPS	17.90366345	-4.153583365
Ames27114	NCRIPS	2.225667452	5.154786635
Ames27115	NCRIPS	-34.68988455	-21.61721636
Ames27116	NCRIPS	-19.96510055	-14.67885836
Ames27117	NCRIPS	-42.76205655	-31.12088636
Ames27118	NCRIPS	-5.693140548	-19.99743536
Ames27119	NCRIPS	-41.49834455	-41.15465636
Ames27121	NCRIPS	-3.315492548	-9.829559365
Ames27122	NCRIPS	-8.904124548	-25.12452536
Ames27123	NCRIPS	-31.33657655	-21.20615636
Ames27124	NCRIPS	-9.718600548	4.009119635
Ames27125	NCRIPS	-20.45840455	3.150264635
Ames27126	NCRIPS	-31.18026855	-20.56529336
Ames27129	NCRIPS	33.63465145	42.11903164
Ames27131	NCRIPS	-5.717980548	6.666408635
Ames27132	NCRIPS	25.67757145	28.35400864
Ames27133	NCRIPS	-11.03631655	-13.10901836
Ames27134	NCRIPS	-15.74027655	-4.175903365
Ames27135	NCRIPS	-25.84261255	-30.02804336
Ames27136	NCRIPS	24.29959545	19.35616564
Ames27137	NCRIPS	-25.24544055	-17.88261536
Ames27138	NCRIPS	-0.689536548	-6.041111365
Ames27139	NCRIPS	50.26033945	23.78240764
Ames27140	NCRIPS	-3.430860548	-22.80529136
Ames27141	NCRIPS	-26.75460855	-22.73693636
Ames27142	NCRIPS	-7.043424548	-8.759036365
Ames27143	NCRIPS	-16.04764855	-11.20103036
Ames27144	NCRIPS	-12.61052855	-6.034415365
Ames27145	NCRIPS	-32.60028855	-26.61410636
Ames27146	NCRIPS	4.306155452	-14.17377536
Ames27147	NCRIPS	-30.01002855	-10.22304236
Ames27148	NCRIPS	-43.93818455	-38.15429036
Ames27149	NCRIPS	-4.527592548	-11.61367136
Ames27150	NCRIPS	8.903763452	-15.30539936
Ames27151	NCRIPS	-7.501676548	-8.029358365
Ames27152	NCRIPS	-6.818392548	-20.35688036
Ames27153	NCRIPS	-26.81109655	-23.10084536
Ames27154	NCRIPS	2.529083452	-7.583516365
Ames27155	NCRIPS	-2.360716548	1.357503635
Ames27156	NCRIPS	-0.157224548	1.501839635
