model,source_panel,target_panel,distance,abs_error
Ridge,USP,NCRIPS,87.23255594118525,12.885648246816556
Ridge,USP,NCRIPS,89.03684576202082,10.219701662777716
Ridge,USP,NCRIPS,76.2673425518609,21.992306455145975
Ridge,USP,NCRIPS,75.25757717186353,6.529902148608654
Ridge,USP,NCRIPS,80.4546640523811,20.59852367952976
Ridge,USP,NCRIPS,76.30341444580056,15.733712212475437
Ridge,USP,NCRIPS,71.32134770369481,35.53477986562151
Ridge,USP,NCRIPS,81.00414912095965,14.47052795299235
Ridge,USP,NCRIPS,85.14667760926226,5.201041761805587
Ridge,USP,NCRIPS,105.36022117166353,11.57026701477693
Ridge,USP,NCRIPS,91.52535532303165,14.633679232839674
Ridge,USP,NCRIPS,76.03422712863932,20.815755755264803
Ridge,USP,NCRIPS,76.9454477492587,5.083097223052776
Ridge,USP,NCRIPS,62.524536319049346,30.542938674772728
Ridge,USP,NCRIPS,86.28928751578614,8.002698672579221
Ridge,USP,NCRIPS,75.63151299423464,22.2858984896367
Ridge,USP,NCRIPS,77.71815529621261,9.830816662749585
Ridge,USP,NCRIPS,72.40699033240391,6.215486709627423
Ridge,USP,NCRIPS,151.1033647708135,18.155715199844906
Ridge,USP,NCRIPS,31.087096196028924,16.511093365223065
Ridge,USP,NCRIPS,152.40455109178654,5.520507085355417
Ridge,USP,NCRIPS,125.49387674947286,28.2588843805579
Ridge,USP,NCRIPS,87.06595008188583,13.370905962459286
Ridge,USP,NCRIPS,144.64982938679844,10.12015092020858
Ridge,USP,NCRIPS,185.2840858553123,6.047001852500827
Ridge,USP,NCRIPS,88.82296819411151,22.38681759671608
Ridge,USP,NCRIPS,170.04743435489692,7.120490917952691
Ridge,USP,NCRIPS,83.425478569367,15.671993122867589
Ridge,USP,NCRIPS,93.32495741920464,2.49874041594457
Ridge,USP,NCRIPS,76.76404124514346,5.3605892845894285
Ridge,USP,NCRIPS,77.3426986069138,3.8402563500527935
Ridge,USP,NCRIPS,165.735624188754,27.97732831209217
Ridge,USP,NCRIPS,93.99697793998905,1.96043589929595
Ridge,USP,NCRIPS,80.44020405139294,11.152442973424044
Ridge,USP,NCRIPS,94.75959794270132,14.853161274283897
Ridge,USP,NCRIPS,113.73560555719536,35.58580715988118
Ridge,USP,NCRIPS,94.40574421604482,34.044082650450235
Ridge,USP,NCRIPS,147.08920792099093,15.24452595744237
Ridge,USP,NCRIPS,177.60020253026246,14.402790394875835
Ridge,USP,NCRIPS,177.77178162034383,17.67420120678442
Ridge,USP,NCRIPS,177.73737437483538,46.0589523425682
Ridge,USP,NCRIPS,176.32635087452505,28.93721476327508
Ridge,USP,NCRIPS,125.99134816346486,0.619826521173831
Ridge,USP,NCRIPS,190.39094294362243,4.951206360804771
Ridge,USP,NCRIPS,166.28143909816438,39.3761701739539
Ridge,USP,NCRIPS,171.08741752914838,32.821259006373765
Ridge,USP,NCRIPS,164.29667277073636,21.089180884069037
Ridge,USP,NCRIPS,158.9147362699601,23.193850720605116
Ridge,USP,NCRIPS,89.81564113263347,25.692506666954706
